vtkOriginalIndices,Displacement:0,Displacement:1,Points:0,Points:1,Points:2,__vtkIsSelected__,arc_length,vtkValidPointMask
0,6.72825e-12,5.14514e-14,1,0,0,0,0,1
1,4.44265e-09,-6.66135e-11,1,0.01,0,0,0.01,1
2,8.87701e-09,-1.32808e-10,1,0.02,0,0,0.02,1
3,1.33098e-08,-1.98532e-10,1,0.03,0,0,0.03,1
4,1.7741e-08,-2.63784e-10,1,0.04,0,0,0.04,1
5,2.21707e-08,-3.28561e-10,1,0.05,0,0,0.05,1
6,2.65988e-08,-3.92864e-10,1,0.06,0,0,0.06,1
7,3.10253e-08,-4.56691e-10,1,0.07,0,0,0.07,1
8,3.54502e-08,-5.2004e-10,1,0.08,0,0,0.08,1
9,3.98736e-08,-5.8291e-10,1,0.09,0,0,0.09,1
10,4.42953e-08,-6.453e-10,1,0.1,0,0,0.1,1
11,4.87155e-08,-7.07209e-10,1,0.11,0,0,0.11,1
12,5.3134e-08,-7.68635e-10,1,0.12,0,0,0.12,1
13,5.7551e-08,-8.29578e-10,1,0.13,0,0,0.13,1
14,6.19663e-08,-8.90035e-10,1,0.14,0,0,0.14,1
15,6.63801e-08,-9.50005e-10,1,0.15,0,0,0.15,1
16,7.07922e-08,-1.00949e-09,1,0.16,0,0,0.16,1
17,7.52027e-08,-1.06848e-09,1,0.17,0,0,0.17,1
18,7.96115e-08,-1.12698e-09,1,0.18,0,0,0.18,1
19,8.40188e-08,-1.18499e-09,1,0.19,0,0,0.19,1
20,8.84244e-08,-1.24251e-09,1,0.2,0,0,0.2,1
21,9.28283e-08,-1.29954e-09,1,0.21,0,0,0.21,1
22,9.72306e-08,-1.35606e-09,1,0.22,0,0,0.22,1
23,1.01631e-07,-1.41209e-09,1,0.23,0,0,0.23,1
24,1.0603e-07,-1.46762e-09,1,0.24,0,0,0.24,1
25,1.10428e-07,-1.52265e-09,1,0.25,0,0,0.25,1
26,1.14823e-07,-1.57718e-09,1,0.26,0,0,0.26,1
27,1.19217e-07,-1.63121e-09,1,0.27,0,0,0.27,1
28,1.2361e-07,-1.68473e-09,1,0.28,0,0,0.28,1
29,1.28e-07,-1.73775e-09,1,0.29,0,0,0.29,1
30,1.32389e-07,-1.79026e-09,1,0.3,0,0,0.3,1
31,1.36777e-07,-1.84226e-09,1,0.31,0,0,0.31,1
32,1.41162e-07,-1.89375e-09,1,0.32,0,0,0.32,1
33,1.45546e-07,-1.94473e-09,1,0.33,0,0,0.33,1
34,1.49929e-07,-1.9952e-09,1,0.34,0,0,0.34,1
35,1.54309e-07,-2.04515e-09,1,0.35,0,0,0.35,1
36,1.58688e-07,-2.09459e-09,1,0.36,0,0,0.36,1
37,1.63065e-07,-2.14351e-09,1,0.37,0,0,0.37,1
38,1.6744e-07,-2.19191e-09,1,0.38,0,0,0.38,1
39,1.71814e-07,-2.2398e-09,1,0.39,0,0,0.39,1
40,1.76186e-07,-2.28716e-09,1,0.4,0,0,0.4,1
41,1.80556e-07,-2.334e-09,1,0.41,0,0,0.41,1
42,1.84925e-07,-2.38031e-09,1,0.42,0,0,0.42,1
43,1.89291e-07,-2.4261e-09,1,0.43,0,0,0.43,1
44,1.93656e-07,-2.47136e-09,1,0.44,0,0,0.44,1
45,1.98019e-07,-2.51609e-09,1,0.45,0,0,0.45,1
46,2.02381e-07,-2.56029e-09,1,0.46,0,0,0.46,1
47,2.06741e-07,-2.60396e-09,1,0.47,0,0,0.47,1
48,2.11099e-07,-2.64709e-09,1,0.48,0,0,0.48,1
49,2.15455e-07,-2.68969e-09,1,0.49,0,0,0.49,1
50,2.19809e-07,-2.73175e-09,1,0.5,0,0,0.5,1
51,2.24162e-07,-2.77328e-09,1,0.51,0,0,0.51,1
52,2.28512e-07,-2.81426e-09,1,0.52,0,0,0.52,1
53,2.32861e-07,-2.85471e-09,1,0.53,0,0,0.53,1
54,2.37209e-07,-2.89461e-09,1,0.54,0,0,0.54,1
55,2.41554e-07,-2.93397e-09,1,0.55,0,0,0.55,1
56,2.45898e-07,-2.97278e-09,1,0.56,0,0,0.56,1
57,2.50239e-07,-3.01104e-09,1,0.57,0,0,0.57,1
58,2.54579e-07,-3.04875e-09,1,0.58,0,0,0.58,1
59,2.58918e-07,-3.08591e-09,1,0.59,0,0,0.59,1
60,2.63254e-07,-3.12252e-09,1,0.6,0,0,0.6,1
61,2.67588e-07,-3.15858e-09,1,0.61,0,0,0.61,1
62,2.71921e-07,-3.19408e-09,1,0.62,0,0,0.62,1
63,2.76252e-07,-3.22902e-09,1,0.63,0,0,0.63,1
64,2.80581e-07,-3.26341e-09,1,0.64,0,0,0.64,1
65,2.84908e-07,-3.29723e-09,1,0.65,0,0,0.65,1
66,2.89233e-07,-3.33049e-09,1,0.66,0,0,0.66,1
67,2.93556e-07,-3.36319e-09,1,0.67,0,0,0.67,1
68,2.97878e-07,-3.39532e-09,1,0.68,0,0,0.68,1
69,3.02197e-07,-3.42688e-09,1,0.69,0,0,0.69,1
70,3.06515e-07,-3.45787e-09,1,0.7,0,0,0.7,1
71,3.10831e-07,-3.4883e-09,1,0.71,0,0,0.71,1
72,3.15144e-07,-3.51815e-09,1,0.72,0,0,0.72,1
73,3.19456e-07,-3.54742e-09,1,0.73,0,0,0.73,1
74,3.23767e-07,-3.57612e-09,1,0.74,0,0,0.74,1
75,3.28075e-07,-3.60424e-09,1,0.75,0,0,0.75,1
76,3.32381e-07,-3.63178e-09,1,0.76,0,0,0.76,1
77,3.36685e-07,-3.65874e-09,1,0.77,0,0,0.77,1
78,3.40988e-07,-3.68512e-09,1,0.78,0,0,0.78,1
79,3.45288e-07,-3.71091e-09,1,0.79,0,0,0.79,1
80,3.49587e-07,-3.73612e-09,1,0.8,0,0,0.8,1
81,3.53883e-07,-3.76074e-09,1,0.81,0,0,0.81,1
82,3.58178e-07,-3.78476e-09,1,0.82,0,0,0.82,1
83,3.6247e-07,-3.8082e-09,1,0.83,0,0,0.83,1
84,3.66761e-07,-3.83104e-09,1,0.84,0,0,0.84,1
85,3.7105e-07,-3.85328e-09,1,0.85,0,0,0.85,1
86,3.75336e-07,-3.87493e-09,1,0.86,0,0,0.86,1
87,3.79621e-07,-3.89598e-09,1,0.87,0,0,0.87,1
88,3.83904e-07,-3.91642e-09,1,0.88,0,0,0.88,1
89,3.88184e-07,-3.93626e-09,1,0.89,0,0,0.89,1
90,3.92463e-07,-3.9555e-09,1,0.9,0,0,0.9,1
91,3.9674e-07,-3.97413e-09,1,0.91,0,0,0.91,1
92,4.01014e-07,-3.99215e-09,1,0.92,0,0,0.92,1
93,4.05287e-07,-4.00956e-09,1,0.93,0,0,0.93,1
94,4.09558e-07,-4.02636e-09,1,0.94,0,0,0.94,1
95,4.13826e-07,-4.04254e-09,1,0.95,0,0,0.95,1
96,4.18093e-07,-4.0581e-09,1,0.96,0,0,0.96,1
97,4.22357e-07,-4.07305e-09,1,0.97,0,0,0.97,1
98,4.2662e-07,-4.08738e-09,1,0.98,0,0,0.98,1
99,4.3088e-07,-4.10108e-09,1,0.99,0,0,0.99,1
100,4.35138e-07,-4.11416e-09,1,1,0,0,1,1
101,4.39395e-07,-4.12661e-09,1,1.01,0,0,1.01,1
102,4.43649e-07,-4.13843e-09,1,1.02,0,0,1.02,1
103,4.47901e-07,-4.14962e-09,1,1.03,0,0,1.03,1
104,4.52151e-07,-4.16018e-09,1,1.04,0,0,1.04,1
105,4.56399e-07,-4.17011e-09,1,1.05,0,0,1.05,1
106,4.60644e-07,-4.17939e-09,1,1.06,0,0,1.06,1
107,4.64888e-07,-4.18804e-09,1,1.07,0,0,1.07,1
108,4.69129e-07,-4.19605e-09,1,1.08,0,0,1.08,1
109,4.73369e-07,-4.20341e-09,1,1.09,0,0,1.09,1
110,4.77606e-07,-4.21013e-09,1,1.1,0,0,1.1,1
111,4.81841e-07,-4.21621e-09,1,1.11,0,0,1.11,1
112,4.86074e-07,-4.22163e-09,1,1.12,0,0,1.12,1
113,4.90305e-07,-4.2264e-09,1,1.13,0,0,1.13,1
114,4.94533e-07,-4.23051e-09,1,1.14,0,0,1.14,1
115,4.9876e-07,-4.23397e-09,1,1.15,0,0,1.15,1
116,5.02984e-07,-4.23678e-09,1,1.16,0,0,1.16,1
117,5.07206e-07,-4.23892e-09,1,1.17,0,0,1.17,1
118,5.11426e-07,-4.2404e-09,1,1.18,0,0,1.18,1
119,5.15643e-07,-4.24121e-09,1,1.19,0,0,1.19,1
120,5.19859e-07,-4.24136e-09,1,1.2,0,0,1.2,1
121,5.24072e-07,-4.24084e-09,1,1.21,0,0,1.21,1
122,5.28283e-07,-4.23965e-09,1,1.22,0,0,1.22,1
123,5.32492e-07,-4.23778e-09,1,1.23,0,0,1.23,1
124,5.36698e-07,-4.23524e-09,1,1.24,0,0,1.24,1
125,5.40903e-07,-4.23202e-09,1,1.25,0,0,1.25,1
126,5.45105e-07,-4.22812e-09,1,1.26,0,0,1.26,1
127,5.49304e-07,-4.22353e-09,1,1.27,0,0,1.27,1
128,5.53502e-07,-4.21827e-09,1,1.28,0,0,1.28,1
129,5.57697e-07,-4.21231e-09,1,1.29,0,0,1.29,1
130,5.6189e-07,-4.20566e-09,1,1.3,0,0,1.3,1
131,5.6608e-07,-4.19832e-09,1,1.31,0,0,1.31,1
132,5.70269e-07,-4.19029e-09,1,1.32,0,0,1.32,1
133,5.74455e-07,-4.18156e-09,1,1.33,0,0,1.33,1
134,5.78638e-07,-4.17213e-09,1,1.34,0,0,1.34,1
135,5.8282e-07,-4.162e-09,1,1.35,0,0,1.35,1
136,5.86999e-07,-4.15116e-09,1,1.36,0,0,1.36,1
137,5.91176e-07,-4.13962e-09,1,1.37,0,0,1.37,1
138,5.9535e-07,-4.12737e-09,1,1.38,0,0,1.38,1
139,5.99522e-07,-4.11441e-09,1,1.39,0,0,1.39,1
140,6.03691e-07,-4.10073e-09,1,1.4,0,0,1.4,1
141,6.07859e-07,-4.08633e-09,1,1.41,0,0,1.41,1
142,6.12023e-07,-4.07122e-09,1,1.42,0,0,1.42,1
143,6.16186e-07,-4.05539e-09,1,1.43,0,0,1.43,1
144,6.20346e-07,-4.03883e-09,1,1.44,0,0,1.44,1
145,6.24504e-07,-4.02154e-09,1,1.45,0,0,1.45,1
146,6.28659e-07,-4.00353e-09,1,1.46,0,0,1.46,1
147,6.32812e-07,-3.98478e-09,1,1.47,0,0,1.47,1
148,6.36962e-07,-3.9653e-09,1,1.48,0,0,1.48,1
149,6.4111e-07,-3.94508e-09,1,1.49,0,0,1.49,1
150,6.45255e-07,-3.92412e-09,1,1.5,0,0,1.5,1
151,6.49398e-07,-3.90242e-09,1,1.51,0,0,1.51,1
152,6.53539e-07,-3.87997e-09,1,1.52,0,0,1.52,1
153,6.57677e-07,-3.85678e-09,1,1.53,0,0,1.53,1
154,6.61813e-07,-3.83283e-09,1,1.54,0,0,1.54,1
155,6.65946e-07,-3.80813e-09,1,1.55,0,0,1.55,1
156,6.70076e-07,-3.78268e-09,1,1.56,0,0,1.56,1
157,6.74204e-07,-3.75646e-09,1,1.57,0,0,1.57,1
158,6.7833e-07,-3.72949e-09,1,1.58,0,0,1.58,1
159,6.82453e-07,-3.70175e-09,1,1.59,0,0,1.59,1
160,6.86573e-07,-3.67324e-09,1,1.6,0,0,1.6,1
161,6.90691e-07,-3.64397e-09,1,1.61,0,0,1.61,1
162,6.94806e-07,-3.61392e-09,1,1.62,0,0,1.62,1
163,6.98919e-07,-3.58309e-09,1,1.63,0,0,1.63,1
164,7.03029e-07,-3.55149e-09,1,1.64,0,0,1.64,1
165,7.07138e-07,-3.5187e-09,1,1.65,0,0,1.65,1
166,7.11218e-07,-3.48781e-09,1,1.66,0,0,1.66,1
167,7.1498e-07,-3.44836e-09,1,1.67,0,0,1.67,1
168,7.18742e-07,-3.4089e-09,1,1.68,0,0,1.68,1
169,7.22505e-07,-3.36945e-09,1,1.69,0,0,1.69,1
170,7.26267e-07,-3.33e-09,1,1.7,0,0,1.7,1
171,7.30029e-07,-3.29054e-09,1,1.71,0,0,1.71,1
172,7.33791e-07,-3.25108e-09,1,1.72,0,0,1.72,1
173,7.37553e-07,-3.21163e-09,1,1.73,0,0,1.73,1
174,7.41315e-07,-3.17217e-09,1,1.74,0,0,1.74,1
175,7.45077e-07,-3.13271e-09,1,1.75,0,0,1.75,1
176,7.48839e-07,-3.09325e-09,1,1.76,0,0,1.76,1
177,7.52601e-07,-3.05379e-09,1,1.77,0,0,1.77,1
178,7.56364e-07,-3.01432e-09,1,1.78,0,0,1.78,1
179,7.60126e-07,-2.97486e-09,1,1.79,0,0,1.79,1
180,7.63888e-07,-2.9354e-09,1,1.8,0,0,1.8,1
181,7.6765e-07,-2.89593e-09,1,1.81,0,0,1.81,1
182,7.71412e-07,-2.85647e-09,1,1.82,0,0,1.82,1
183,7.75174e-07,-2.817e-09,1,1.83,0,0,1.83,1
184,7.78936e-07,-2.77753e-09,1,1.84,0,0,1.84,1
185,7.82698e-07,-2.73806e-09,1,1.85,0,0,1.85,1
186,7.86461e-07,-2.69859e-09,1,1.86,0,0,1.86,1
187,7.90223e-07,-2.65912e-09,1,1.87,0,0,1.87,1
188,7.93985e-07,-2.61965e-09,1,1.88,0,0,1.88,1
189,7.97747e-07,-2.58018e-09,1,1.89,0,0,1.89,1
190,8.01509e-07,-2.5407e-09,1,1.9,0,0,1.9,1
191,8.05271e-07,-2.50123e-09,1,1.91,0,0,1.91,1
192,8.09034e-07,-2.46175e-09,1,1.92,0,0,1.92,1
193,8.12796e-07,-2.42228e-09,1,1.93,0,0,1.93,1
194,8.16558e-07,-2.3828e-09,1,1.94,0,0,1.94,1
195,8.2032e-07,-2.34332e-09,1,1.95,0,0,1.95,1
196,8.24082e-07,-2.30384e-09,1,1.96,0,0,1.96,1
197,8.27844e-07,-2.26436e-09,1,1.97,0,0,1.97,1
198,8.31607e-07,-2.22488e-09,1,1.98,0,0,1.98,1
199,8.35369e-07,-2.1854e-09,1,1.99,0,0,1.99,1
200,8.39131e-07,-2.14592e-09,1,2,0,0,2,1
201,8.42893e-07,-2.10643e-09,1,2.01,0,0,2.01,1
202,8.46655e-07,-2.06695e-09,1,2.02,0,0,2.02,1
203,8.50418e-07,-2.02746e-09,1,2.03,0,0,2.03,1
204,8.5418e-07,-1.98797e-09,1,2.04,0,0,2.04,1
205,8.57942e-07,-1.94849e-09,1,2.05,0,0,2.05,1
206,8.61704e-07,-1.909e-09,1,2.06,0,0,2.06,1
207,8.65466e-07,-1.86951e-09,1,2.07,0,0,2.07,1
208,8.69229e-07,-1.83002e-09,1,2.08,0,0,2.08,1
209,8.72991e-07,-1.79053e-09,1,2.09,0,0,2.09,1
210,8.76753e-07,-1.75103e-09,1,2.1,0,0,2.1,1
211,8.80515e-07,-1.71154e-09,1,2.11,0,0,2.11,1
212,8.84277e-07,-1.67204e-09,1,2.12,0,0,2.12,1
213,8.8804e-07,-1.63255e-09,1,2.13,0,0,2.13,1
214,8.91802e-07,-1.59305e-09,1,2.14,0,0,2.14,1
215,8.95564e-07,-1.55355e-09,1,2.15,0,0,2.15,1
216,8.99326e-07,-1.51406e-09,1,2.16,0,0,2.16,1
217,9.03089e-07,-1.47456e-09,1,2.17,0,0,2.17,1
218,9.06851e-07,-1.43506e-09,1,2.18,0,0,2.18,1
219,9.10613e-07,-1.39556e-09,1,2.19,0,0,2.19,1
220,9.14375e-07,-1.35605e-09,1,2.2,0,0,2.2,1
221,9.18138e-07,-1.31655e-09,1,2.21,0,0,2.21,1
222,9.219e-07,-1.27705e-09,1,2.22,0,0,2.22,1
223,9.25662e-07,-1.23754e-09,1,2.23,0,0,2.23,1
224,9.29425e-07,-1.19804e-09,1,2.24,0,0,2.24,1
225,9.33187e-07,-1.15853e-09,1,2.25,0,0,2.25,1
226,9.36949e-07,-1.11902e-09,1,2.26,0,0,2.26,1
227,9.40711e-07,-1.07951e-09,1,2.27,0,0,2.27,1
228,9.44474e-07,-1.04e-09,1,2.28,0,0,2.28,1
229,9.48236e-07,-1.00049e-09,1,2.29,0,0,2.29,1
230,9.51998e-07,-9.60982e-10,1,2.3,0,0,2.3,1
231,9.5576e-07,-9.2147e-10,1,2.31,0,0,2.31,1
232,9.59523e-07,-8.81956e-10,1,2.32,0,0,2.32,1
233,9.63285e-07,-8.42442e-10,1,2.33,0,0,2.33,1
234,9.67047e-07,-8.02927e-10,1,2.34,0,0,2.34,1
235,9.7081e-07,-7.6341e-10,1,2.35,0,0,2.35,1
236,9.74572e-07,-7.23893e-10,1,2.36,0,0,2.36,1
237,9.78334e-07,-6.84375e-10,1,2.37,0,0,2.37,1
238,9.82097e-07,-6.44855e-10,1,2.38,0,0,2.38,1
239,9.85859e-07,-6.05335e-10,1,2.39,0,0,2.39,1
240,9.89621e-07,-5.65814e-10,1,2.4,0,0,2.4,1
241,9.93384e-07,-5.26292e-10,1,2.41,0,0,2.41,1
242,9.97146e-07,-4.86769e-10,1,2.42,0,0,2.42,1
243,1.00091e-06,-4.47245e-10,1,2.43,0,0,2.43,1
244,1.00467e-06,-4.07721e-10,1,2.44,0,0,2.44,1
245,1.00843e-06,-3.68195e-10,1,2.45,0,0,2.45,1
246,1.0122e-06,-3.28668e-10,1,2.46,0,0,2.46,1
247,1.01596e-06,-2.89141e-10,1,2.47,0,0,2.47,1
248,1.01972e-06,-2.49612e-10,1,2.48,0,0,2.48,1
249,1.02348e-06,-2.10083e-10,1,2.49,0,0,2.49,1
250,1.02724e-06,-1.70552e-10,1,2.5,0,0,2.5,1
251,1.03101e-06,-1.31021e-10,1,2.51,0,0,2.51,1
252,1.03477e-06,-9.14884e-11,1,2.52,0,0,2.52,1
253,1.03853e-06,-5.19551e-11,1,2.53,0,0,2.53,1
254,1.04229e-06,-1.24208e-11,1,2.54,0,0,2.54,1
255,1.04606e-06,2.71144e-11,1,2.55,0,0,2.55,1
256,1.04982e-06,6.66505e-11,1,2.56,0,0,2.56,1
257,1.05358e-06,1.06188e-10,1,2.57,0,0,2.57,1
258,1.05734e-06,1.45726e-10,1,2.58,0,0,2.58,1
259,1.06111e-06,1.85265e-10,1,2.59,0,0,2.59,1
260,1.06487e-06,2.24805e-10,1,2.6,0,0,2.6,1
261,1.06863e-06,2.64346e-10,1,2.61,0,0,2.61,1
262,1.07239e-06,3.03887e-10,1,2.62,0,0,2.62,1
263,1.07616e-06,3.43431e-10,1,2.63,0,0,2.63,1
264,1.07992e-06,3.82975e-10,1,2.64,0,0,2.64,1
265,1.08368e-06,4.2252e-10,1,2.65,0,0,2.65,1
266,1.08744e-06,4.62065e-10,1,2.66,0,0,2.66,1
267,1.0912e-06,5.01612e-10,1,2.67,0,0,2.67,1
268,1.09497e-06,5.41159e-10,1,2.68,0,0,2.68,1
269,1.09873e-06,5.80708e-10,1,2.69,0,0,2.69,1
270,1.10249e-06,6.20257e-10,1,2.7,0,0,2.7,1
271,1.10625e-06,6.59808e-10,1,2.71,0,0,2.71,1
272,1.11002e-06,6.99359e-10,1,2.72,0,0,2.72,1
273,1.11378e-06,7.38911e-10,1,2.73,0,0,2.73,1
274,1.11754e-06,7.78465e-10,1,2.74,0,0,2.74,1
275,1.1213e-06,8.18019e-10,1,2.75,0,0,2.75,1
276,1.12507e-06,8.57574e-10,1,2.76,0,0,2.76,1
277,1.12883e-06,8.9713e-10,1,2.77,0,0,2.77,1
278,1.13259e-06,9.36687e-10,1,2.78,0,0,2.78,1
279,1.13635e-06,9.76245e-10,1,2.79,0,0,2.79,1
280,1.14012e-06,1.0158e-09,1,2.8,0,0,2.8,1
281,1.14388e-06,1.05536e-09,1,2.81,0,0,2.81,1
282,1.14764e-06,1.09492e-09,1,2.82,0,0,2.82,1
283,1.1514e-06,1.13449e-09,1,2.83,0,0,2.83,1
284,1.15517e-06,1.17405e-09,1,2.84,0,0,2.84,1
285,1.15893e-06,1.21361e-09,1,2.85,0,0,2.85,1
286,1.16269e-06,1.25318e-09,1,2.86,0,0,2.86,1
287,1.16645e-06,1.29274e-09,1,2.87,0,0,2.87,1
288,1.17022e-06,1.33231e-09,1,2.88,0,0,2.88,1
289,1.17398e-06,1.37188e-09,1,2.89,0,0,2.89,1
290,1.17774e-06,1.41145e-09,1,2.9,0,0,2.9,1
291,1.1815e-06,1.45102e-09,1,2.91,0,0,2.91,1
292,1.18491e-06,1.46765e-09,1,2.92,0,0,2.92,1
293,1.18817e-06,1.47476e-09,1,2.93,0,0,2.93,1
294,1.19142e-06,1.48186e-09,1,2.94,0,0,2.94,1
295,1.19468e-06,1.48896e-09,1,2.95,0,0,2.95,1
296,1.19794e-06,1.49607e-09,1,2.96,0,0,2.96,1
297,1.20119e-06,1.50317e-09,1,2.97,0,0,2.97,1
298,1.20445e-06,1.51027e-09,1,2.98,0,0,2.98,1
299,1.20771e-06,1.51738e-09,1,2.99,0,0,2.99,1
300,1.21096e-06,1.52448e-09,1,3,0,0,3,1
301,1.21422e-06,1.53159e-09,1,3.01,0,0,3.01,1
302,1.21748e-06,1.53869e-09,1,3.02,0,0,3.02,1
303,1.22073e-06,1.54579e-09,1,3.03,0,0,3.03,1
304,1.22399e-06,1.5529e-09,1,3.04,0,0,3.04,1
305,1.22725e-06,1.56e-09,1,3.05,0,0,3.05,1
306,1.2305e-06,1.56711e-09,1,3.06,0,0,3.06,1
307,1.23376e-06,1.57421e-09,1,3.07,0,0,3.07,1
308,1.23702e-06,1.58132e-09,1,3.08,0,0,3.08,1
309,1.24027e-06,1.58842e-09,1,3.09,0,0,3.09,1
310,1.24353e-06,1.59553e-09,1,3.1,0,0,3.1,1
311,1.24679e-06,1.60263e-09,1,3.11,0,0,3.11,1
312,1.25005e-06,1.60974e-09,1,3.12,0,0,3.12,1
313,1.2533e-06,1.61685e-09,1,3.13,0,0,3.13,1
314,1.25656e-06,1.62395e-09,1,3.14,0,0,3.14,1
315,1.25982e-06,1.63106e-09,1,3.15,0,0,3.15,1
316,1.26307e-06,1.63816e-09,1,3.16,0,0,3.16,1
317,1.26633e-06,1.64527e-09,1,3.17,0,0,3.17,1
318,1.26959e-06,1.65238e-09,1,3.18,0,0,3.18,1
319,1.27284e-06,1.65948e-09,1,3.19,0,0,3.19,1
320,1.2761e-06,1.66659e-09,1,3.2,0,0,3.2,1
321,1.27936e-06,1.6737e-09,1,3.21,0,0,3.21,1
322,1.28261e-06,1.6808e-09,1,3.22,0,0,3.22,1
323,1.28587e-06,1.68791e-09,1,3.23,0,0,3.23,1
324,1.28913e-06,1.69502e-09,1,3.24,0,0,3.24,1
325,1.29238e-06,1.70212e-09,1,3.25,0,0,3.25,1
326,1.29564e-06,1.70923e-09,1,3.26,0,0,3.26,1
327,1.2989e-06,1.71634e-09,1,3.27,0,0,3.27,1
328,1.30215e-06,1.72345e-09,1,3.28,0,0,3.28,1
329,1.30541e-06,1.73055e-09,1,3.29,0,0,3.29,1
